term_type,term,n_yes,repeat_rate_yes,repeat_rate_no,expected_value_yes,expected_value_no,expected_value_difference,corr_with_expected_value,n_returners_yes,mean_log_amount_yes,mean_log_amount_no,log_amount_difference,corr_with_log_amount_returners
project-plus-gift-size,SCHOOL_STATE x gift_decile=HI | 8,741,0.2658569500674764,0.139646101677935,401.22743589743584,20.13557496766066,381.0918609297752,0.01851781116594361,197,5.547891350934622,3.927220218053194,1.6206711328814278,0.034084512939831474
project-plus-gift-size,SCHOOL_STATE x gift_decile=UT | 8,1351,0.25832716506291636,0.13961510285868314,252.63301258327166,20.120861001014642,232.51215158225702,0.015253262975512792,349,5.400549630880908,3.9265724956454022,1.473977135235506,0.041249899013745504
project-plus-gift-size,SCHOOL_STATE x gift_decile=MS | 8,1323,0.30158730158730157,0.13959009232827688,219.51309901738475,20.144210059936132,199.3688889574486,0.012942839327936738,399,5.406625116952897,3.9263194953705276,1.4803056215823696,0.04429158107235179
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Music | 8,5673,0.26881720430107525,0.13934892248703112,207.2930971267407,19.773271230540868,187.51982589619982,0.02518298216715312,1525,5.370974276450162,3.9209402469905674,1.4500340294595944,0.0846607866627396
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Performing Arts | 8,2776,0.24819884726224783,0.13954962098562307,198.57210734870318,20.036712407753356,178.53539494094983,0.016783397475622595,689,5.324437125416143,3.925079734020088,1.3993573913960549,0.05499360741269102
project-plus-gift-size,SCHOOL_STATE x gift_decile=MA | 8,3531,0.25573491928632114,0.1394991670741896,193.33847352024924,19.982694481326625,173.3557790389226,0.018376249456983514,903,5.336164195128174,3.924047524411134,1.4121166707170403,0.06350877829285813
project-plus-gift-size,SCHOOL_STATE x gift_decile=NY | 8,16868,0.2690894000474271,0.1386694617919582,188.87514583827365,18.93743914714409,169.93770669112956,0.039250218323865695,4539,5.4443899699722405,3.905089264491728,1.5393007054805126,0.1542688716765732
project-plus-gift-size,SCHOOL_STATE x gift_decile=SC | 8,3720,0.2752688172043011,0.13945521359327917,185.91938440860216,19.980295467296838,165.93908894130533,0.018053890560223038,1024,5.261918713713195,3.9237316647973786,1.3381870489158163,0.06407647518813092
project-plus-gift-size,SCHOOL_STATE x gift_decile=NV | 8,1378,0.28374455732946297,0.13959736587909655,182.27092162554425,20.16293248696533,162.10798913857892,0.010740283265439361,391,5.21883504265999,3.926602883477176,1.2922321591828139,0.03827525074256863
project-plus-gift-size,SCHOOL_STATE x gift_decile=WA | 8,3198,0.2626641651031895,0.1395068504345775,181.9138492808005,20.026464928728174,161.88738435207233,0.016332606921583944,840,5.471033070648841,3.923966554815933,1.547066515832908,0.06711405377574017
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Other | 8,2679,0.2930197835013065,0.13949877095127675,178.8458827920866,20.06928486308699,158.77659792899962,0.014663189521906277,785,5.472036412851623,3.9242470953731527,1.5477893174784705,0.06491592707395169
project-plus-gift-size,CATEGORY x gift_decile=Books | 8,28775,0.28458731537793225,0.13773015057737067,176.360538662033,18.15579750367597,158.20474115835702,0.047592230066218315,8189,5.3610060034630065,3.8882493878893767,1.4727566155736298,0.19703057488699213
project-plus-gift-size,SCHOOL_STATE x gift_decile=IN | 8,3379,0.27641313998224326,0.1394749245961628,176.46811482687187,20.021402954855215,156.44671187201666,0.01622353756445737,934,5.335707529859535,3.923903193900885,1.4118043359586503,0.06457208964935217
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=ESL | 8,1904,0.2552521008403361,0.1395873552123552,175.99954831932774,20.12890362804425,155.8706446912835,0.012137563454378731,486,5.407361634145449,3.9258901499167176,1.4814714842287313,0.04891386504581635
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Social Sciences | 8,1861,0.28049435787211174,0.13956786390975454,171.3885599140247,20.135995986863566,151.25256392716113,0.011644315782080153,522,5.324607520459187,3.925856450643255,1.398751069815932,0.04785972982677989
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Visual Arts | 8,6790,0.2681885125184094,0.1392836445124963,170.1898556701031,19.793025408443,150.3968302616601,0.022090948277950218,1821,5.3455725480595655,3.9196614291045764,1.4259111189549891,0.09092892962988555
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Early Development | 8,2954,0.27217332430602575,0.13950776059391873,170.24610020311442,20.060807032124167,150.18529317099026,0.014563324532630307,804,5.273719587702824,3.9246798711368993,1.3490397165659247,0.05725898168474836
project-plus-gift-size,CATEGORY x gift_decile=Supplies | 8,52203,0.27617186751719247,0.1363040909330646,165.70672451774803,16.658939166513427,149.0477853512346,0.06005902055132969,14417,5.34953121187631,3.8568514866909402,1.4926797251853698,0.2621363913286101
project-plus-gift-size,SCHOOL_STATE x gift_decile=OK | 8,2926,0.2792207792207792,0.1394999113219163,168.8192959671907,20.064697733091037,148.75459823409966,0.014356158962549772,817,5.349190228451202,3.92441628783444,1.4247739406167619,0.06095908736226212
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Extracurricular | 8,733,0.27694406548431105,0.13964280065731283,167.31252387448842,20.21651385333649,147.09601002115193,0.00710893526115074,203,5.49674526194753,3.927222405630681,1.569522856316849,0.0335073759814122
project-plus-gift-size,SCHOOL_STATE x gift_decile=PA | 8,4390,0.2674259681093394,0.13942893355027008,164.65564692482917,19.972011025862365,144.6836358989668,0.01709758317096898,1174,5.353088477835149,3.922706155942452,1.4303823218926968,0.0733178104887835
project-plus-gift-size,GRADE_LEVEL x gift_decile=Grades 6-8 | 8,27173,0.2556949913517094,0.13820927859595014,161.94277996540686,18.458771968213913,143.48400799719295,0.041960881108465596,6948,5.329488031337978,3.8952030247017237,1.4342850066362542,0.17712100571489078
project-plus-gift-size,CATEGORY x gift_decile=Visitors | 8,550,0.21818181818181817,0.13966944218484637,162.33785454545452,20.23026683096547,142.10758771448906,0.005949339072138649,120,5.386740395689831,3.9276988001751927,1.459041595514638,0.02395206192988207
gift-size decile,first_gift_decile=True,154325,0.25932933743722664,0.13046908825598927,152.03171961768993,10.111657646923106,141.92006197076682,0.09591044716440023,40021,5.309097755161542,3.716759148006093,1.5923386071554488,0.44463227945943795
gift-size decile,first_gift_decile=False,2002459,0.13046908825598927,0.25932933743722664,10.111657646923108,152.0317196176899,-141.9200619707668,-0.09591044716440021,261259,3.716759148006093,5.309097755161543,-1.5923386071554497,-0.44463227945943823
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Applied Sciences | 8,8487,0.26958878284435017,0.13917628707762475,159.24842818428183,19.71744762479303,139.5309805594888,0.022904302605485722,2288,5.384180861055405,3.9171388321364757,1.4670420289189297,0.10478191118524101
project-plus-gift-size,GRADE_LEVEL x gift_decile=Grades PreK-2 | 8,54997,0.26650544575158647,0.13637109754699214,155.65683619106497,16.72377646735849,138.9330597237065,0.05742375863636456,14657,5.293111364282624,3.8584867447551434,1.4346246195274808,0.2539231560877552
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Team Sports | 8,1657,0.2395896197948099,0.13961265391784336,158.57432106216055,20.1601656607708,138.41415540138973,0.010055423346123318,397,5.40456774642546,3.926332049710063,1.4782356967153971,0.044118803873386625
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Literacy | 8,42107,0.2679126986011827,0.13713630970592672,153.7508005794761,17.608594612794292,136.14220596668181,0.04938716751205499,11281,5.311474590733447,3.8744734797367575,1.4370011109966891,0.22444767915222463
project-plus-gift-size,SCHOOL_STATE x gift_decile=NJ | 8,3242,0.19956816779765577,0.1395993205611964,156.04999999999998,20.062093467413217,135.98790653258678,0.01381356039682507,647,5.31895482918072,3.9252870301456064,1.3936677990351138,0.0530781401361327
project-plus-gift-size,GRADE_LEVEL x gift_decile=Grades 9-12 | 8,23825,0.24478488982161595,0.13851555515131797,152.5846799580273,18.788521012358885,133.79615894566842,0.03666684297147807,5832,5.312522929659609,3.9009556530505165,1.4115672766090928,0.1600062076787376
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Health & Life Science | 8,5016,0.2715311004784689,0.13938212669767372,152.32106658692183,19.958672366165867,132.36239422075596,0.016717189479335693,1362,5.292290903022653,3.9220856344011596,1.370205268621493,0.07562430874119969
project-plus-gift-size,CATEGORY x gift_decile=Other | 8,14948,0.2667246454375167,0.13880287753123954,151.57185175274284,19.35011781947824,132.2217339332646,0.02876137629604896,3987,5.259883991477246,3.9104217793026548,1.3494622121745916,0.12687093860644957
project-plus-gift-size,SCHOOL_STATE x gift_decile=NM | 8,693,0.26551226551226553,0.13964902223514686,150.3096681096681,20.224707765117518,130.08496034455058,0.0061129298791784015,184,5.485460944194929,3.9273283427694556,1.5581326014254735,0.03167027135394078
project-plus-gift-size,SCHOOL_STATE x gift_decile=RI | 8,502,0.25697211155378485,0.13966215921665162,149.91254980079682,20.23632293456978,129.67622686622704,0.005186652687133835,129,5.411331475882968,3.9276446624711685,1.4836868134117998,0.025253129866725222
project-plus-gift-size,SCHOOL_STATE x gift_decile=CA | 8,25565,0.2646978290631723,0.1381899279238783,147.59589282221788,18.739128165617892,128.85676465659998,0.0365650629570425,6767,5.259771079166999,3.897686379261767,1.3620846999052318,0.1660505823346099
project-plus-gift-size,SCHOOL_STATE x gift_decile=WV | 8,546,0.2802197802197802,0.13965387865346962,148.7781501831502,20.233964024379496,128.54418615877069,0.005361906944722688,153,5.48199459280792,3.927490508441768,1.5545040843661524,0.02881365799392552
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=History & Geography | 8,3836,0.26173096976016685,0.13947201697393527,148.3221715328467,20.03834330415783,128.2838282286889,0.014172620088800455,1004,5.324454142417434,3.923611702397983,1.4008424400194506,0.06642054326386174
project-plus-gift-size,SCHOOL_STATE x gift_decile=AZ | 8,2896,0.24343922651933703,0.13954996731492073,146.52321132596686,20.096747727829857,126.42646359813699,0.012138666833114422,705,5.27744418268773,3.9251154665539354,1.3523287161337945,0.05375751960095073
project-plus-gift-size,SCHOOL_STATE x gift_decile=VA | 8,3207,0.255378858746492,0.13951718466532656,145.6974898659183,20.0797199914375,125.6177698744808,0.012691206938414343,819,5.324419393997216,3.924474324536496,1.39994506946072,0.05996985043875113
project-plus-gift-size,SCHOOL_STATE x gift_decile=IA | 8,770,0.2519480519480519,0.13964937147903492,145.55742857142857,20.221759121230193,125.33566945019838,0.006208232892061755,194,5.422900682568801,3.9273169020672687,1.4955837805015322,0.031213527935858715
project-plus-gift-size,SCHOOL_STATE x gift_decile=CT | 8,2080,0.2725961538461538,0.13956116478179834,145.2747355769231,20.14583141814374,125.12890415877935,0.010183692615003672,567,5.30805269949365,3.9256783498805543,1.3823743496130954,0.04929232045375002
project-plus-gift-size,GRADE_LEVEL x gift_decile=Grades 3-5 | 8,47917,0.2607425339649811,0.1369389345084351,142.18541081453347,17.496303304096465,124.689107510437,0.04818591234427483,12494,5.313509700556052,3.868349536714026,1.4451601638420262,0.23705043983706986
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Literature & Writing | 8,18496,0.25524437716262977,0.1386899239017382,143.05840127595155,19.20436667090682,123.85403460504473,0.02994362193103616,4721,5.248979175663562,3.907255381964251,1.3417237936993112,0.1370950080344045
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=College & Career Prep | 8,1713,0.21424401634559254,0.13963020243880597,143.01004670169294,20.168940503584334,122.8411061981086,0.009073510706905479,367,5.365827613044288,3.9265266730724715,1.4393009399718162,0.04130390201295605
project-plus-gift-size,SCHOOL_STATE x gift_decile=IL | 8,9183,0.2671240335402374,0.13914456176915543,142.1506849613416,19.745336889859892,122.40534807148171,0.020897370788509617,2453,5.26753204698563,3.9172863342234407,1.350245712762189,0.09982917082235383
project-plus-gift-size,SCHOOL_STATE x gift_decile=TX | 8,9575,0.24302872062663186,0.13922864518544772,141.61131070496083,19.72539547384535,121.88591523111548,0.021246247581702158,2327,5.306191848406397,3.917554502135795,1.3886373462706016,0.10001714560790238
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Gym & Fitness | 8,1471,0.2399728076138681,0.1396210202416076,141.80669612508498,20.183554472134674,121.62314165295031,0.008325300008088515,353,5.344787271882295,3.9266183147450033,1.4181689571372913,0.039914608194032114
project-plus-gift-size,SCHOOL_STATE x gift_decile=MN | 8,1467,0.25426039536468986,0.1396114817449127,141.5037218813906,20.18398640663995,121.31973547475064,0.008293240374586912,373,5.319936223511475,3.9265548601291234,1.393381363382352,0.04031127403313509
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Environmental Science | 8,5977,0.27154090680943616,0.13932305409085985,141.18990630751213,19.930464667448078,121.25944164006405,0.01671398765887511,1623,5.26014674910694,3.921066290239986,1.3390804588669538,0.08064252385822235
project-plus-gift-size,SCHOOL_STATE x gift_decile=KY | 8,992,0.2530241935483871,0.13963731194846257,140.70464717741936,20.21108529023208,120.49356188718728,0.006774001230742084,251,5.379251174337316,3.927070107742062,1.4521810665952541,0.034470514386667504
project-plus-gift-size,SCHOOL_STATE x gift_decile=AR | 8,779,0.2605905006418485,0.1396457800422541,140.62228498074452,20.22301906999288,120.39926591075164,0.005998457886761437,203,5.410262266226795,3.927280716455259,1.482981549771536,0.031659825890207244
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Mathematics | 8,22152,0.24408631274828457,0.13860609229131765,139.28677546045503,19.03138074384718,120.25539471660785,0.031790306259058446,5407,5.284411618929346,3.903496993252824,1.3809146256765223,0.1508285816779328
project-plus-gift-size,SCHOOL_STATE x gift_decile=NC | 8,8161,0.29003798554098764,0.1391184028096134,137.42732018135032,19.821499923439337,117.60582025791099,0.01893227389836088,2367,5.281021296085343,3.917567995036716,1.3634533010486267,0.09903706553042307
project-plus-gift-size,SCHOOL_STATE x gift_decile=LA | 8,2686,0.26172747580044675,0.13953729124673064,136.41772524199553,20.1216736564446,116.29605158555093,0.010754070208926794,703,5.327771571011179,3.925006757316172,1.4027648136950068,0.05568347938210185
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Health & Wellness | 8,2256,0.2526595744680851,0.13957117289726567,136.33845744680852,20.144966985808487,116.19349046100004,0.009848034957575195,570,5.301336538514981,3.9256772893528327,1.3756592491621484,0.049182228248914835
project-only,SCHOOL_STATE x CATEGORY=NH | Books,630,0.18095238095238095,0.13967740708687784,134.93660317460316,20.23300048605062,114.70360268855254,0.005139364095947228,114,3.8309521004005624,3.928316778682847,-0.09736467828228434,-0.0015579115411091544
project-plus-gift-size,SCHOOL_STATE x gift_decile=MI | 8,3508,0.24059293044469784,0.13952507713827675,134.17421607753707,20.080933349928202,114.09328272760887,0.012054851997800922,844,5.352997220381181,3.9242775494755695,1.4287196709056116,0.06212697362869252
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Special Needs | 8,10622,0.23809075503671626,0.139202446040886,132.81294859725097,19.709479456816396,113.10346914043457,0.020760245715108865,2529,5.279673489948361,3.9168400616304697,1.3628334283178911,0.10229580905134168
project-plus-gift-size,SCHOOL_STATE x gift_decile=MD | 8,2862,0.2662473794549266,0.13952130114275263,132.59538434661076,20.117249835416505,112.47813451119426,0.010735939861505344,762,5.209606420681728,3.9250309778971126,1.284575442784615,0.05308334861616808
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Character Education | 8,1443,0.2564102564102564,0.1396113190441791,132.02453915453916,20.191683626859973,111.83285552767919,0.007581981833051296,370,5.28157122213332,3.926615925546026,1.3549552965872942,0.039041824483579214
project-plus-gift-size,CATEGORY x gift_decile=Technology | 8,53002,0.23284027017848383,0.13734265242311228,129.19577336704276,17.522177017390582,111.67359634965217,0.04533349091545985,12341,5.239126747572587,3.8722917858663957,1.366834961706191,0.22288472356532096
project-plus-gift-size,SCHOOL_STATE x gift_decile=AL | 8,1343,0.25316455696202533,0.13961876015163485,131.79720029784067,20.197013673767916,111.60018662407276,0.007299500816392107,340,5.313444872004955,3.926714987212608,1.3867298847923468,0.038305157920234
project-plus-gift-size,SCHOOL_STATE x gift_decile=KS | 8,734,0.2356948228882834,0.139656779759282,129.18301089918256,20.22942633983442,108.95358455934814,0.005269156909794528,173,5.312913352811522,3.927484400888081,1.385428951923441,0.027305724362163362
project-plus-gift-size,SCHOOL_STATE x gift_decile=WI | 8,1531,0.26257348138471587,0.13960217199558475,129.13816459830176,20.189167796077765,108.94899680222399,0.007608203574755445,402,5.239874263798502,3.9265275296106625,1.313346734187839,0.03944333309619821
project-plus-gift-size,SCHOOL_STATE x gift_decile=DC | 8,2184,0.26373626373626374,0.13956372412512763,129.00934523809522,20.156278928803488,108.85306630929173,0.009077629988291503,576,5.358720191778913,3.9255399219091838,1.433180269869729,0.05150716308100988
project-plus-gift-size,SCHOOL_STATE x gift_decile=OH | 8,2477,0.2591844973758579,0.13955206941257675,125.45957610012111,20.145555679854354,105.31402042026676,0.009352444864992806,642,5.324549536299623,3.925298261383922,1.399251274915701,0.053084915145269786
project-plus-gift-size,SCHOOL_STATE x gift_decile=TN | 8,2626,0.24105102817974106,0.13956589999433652,122.82654226961158,20.141481028782472,102.6850612408291,0.009388918493075304,633,5.234052642369803,3.925530686105711,1.3085219562640917,0.049294364481889855
project-plus-gift-size,SCHOOL_STATE x gift_decile=CO | 8,2347,0.2288027268853856,0.13959238538885102,119.46228802726885,20.158443714065434,99.30384431320343,0.008584434085226097,537,5.278074902027353,3.9258697734805303,1.352205128546823,0.04692599076360995
project-plus-gift-size,SCHOOL_STATE x gift_decile=FL | 8,6618,0.2398005439709882,0.13938133148789442,117.41317769718948,19.967497662971137,97.44568003421834,0.014131365578016907,1587,5.103308981956426,3.9220576661913324,1.1812513157650932,0.07034853108750298
project-plus-gift-size,SCHOOL_STATE x gift_decile=ME | 8,669,0.26905829596412556,0.13964932297210492,117.12681614349775,20.236451743065647,96.8903644004321,0.0044735446168015355,180,5.266975333836142,3.92747965442761,1.3394956794085324,0.026928918552560677
project-plus-gift-size,SCHOOL_STATE x gift_decile=GA | 8,3961,0.23276950265084576,0.1395182047014548,116.12624842211562,20.09013231463989,96.03611610747573,0.010781106495580355,922,5.232361798302704,3.9242768360763116,1.3080849622263924,0.05944385700998443
project-plus-gift-size,SCHOOL_STATE x gift_decile=OR | 8,2299,0.2483688560243584,0.13957349436176164,115.28087864288821,20.16511799803665,95.11576064485156,0.008137966033479332,571,5.230421116651367,3.9258073720794386,1.3046137445719288,0.04668304567489837
project-plus-gift-size,SCHOOL_STATE x gift_decile=MO | 8,2644,0.2405446293494705,0.13956567354025273,109.83583207261725,20.15656784145877,89.67926423115848,0.008227765189173954,636,5.225084816236164,3.9255365999824305,1.2995482162537333,0.049071935877848596
project-plus-gift-size,CATEGORY x gift_decile=Trips | 8,4432,0.1976534296028881,0.1395701074917114,108.68222698555957,20.084444997844216,88.59778198771535,0.010519656018349269,876,5.338271409539755,3.9241682992020315,1.4141031103377233,0.06264291395263788
project-plus-gift-size,SCHOOL_STATE x gift_decile=ID | 8,564,0.2375886524822695,0.13966385619278182,101.60078014184397,20.24523107567873,81.35554906616524,0.0034490177701406513,134,5.4332159416656785,3.9276102905967893,1.505605651068889,0.026117893713351797
