term_type,term,n_yes,share_yes,repeat_rate_yes,repeat_rate_no,difference_pp,corr_with_return,p_value,ci_low_pp,ci_high_pp,q_value,significant_fdr_05
project-plus-gift-size,SCHOOL_STATE=MS x gift_decile=8,1323,0.0006134133042529,0.3015873015873015,0.1395900923282768,16.19972092590247,0.0115702126312675,1.0231214917943014e-37,13.72620492338903,18.673236928415914,7.2975129608090785e-37,True
project-plus-gift-size,SUBJECT_CATEGORY=Other x gift_decile=8,2679,0.0012421271671154,0.2930197835013065,0.1394987709512767,15.352101255002973,0.0155980898562454,3.3228342799385762e-68,13.627938548377221,17.076263961628733,3.7962646507970816e-67,True
project-only,SUBJECT_CATEGORY=Other x CATEGORY=Trips,614,0.0002846831207946,0.2915309446254072,0.1396462245555777,15.188472006982948,0.0073913466476074,1.2260086444731252e-16,11.593374899606289,18.783569114359604,5.457852275913118e-16,True
project-plus-gift-size,SCHOOL_STATE=NC x gift_decile=8,8161,0.0037838745094548,0.2900379855409876,0.1391184028096134,15.091958273137424,0.0267289067217338,6.869379263036166e-198,14.106340432016632,16.077576114258203,1.7054555054960943e-196,True
project-plus-gift-size,CATEGORY=Books x gift_decile=8,28775,0.0133416234541799,0.2845873153779322,0.1377301505773706,14.685716480056158,0.0486041482002194,0.0,14.16230826810638,15.20912469200594,0.0,True
project-plus-gift-size,SCHOOL_STATE=NV x gift_decile=8,1378,0.0006389142352688,0.2837445573294629,0.1395973658790965,14.414719145036642,0.0105070098188034,1.7507668760452415e-32,12.033983191596121,16.795455098477163,1.1134187374258161e-31,True
project-plus-gift-size,SUBJECT_CATEGORY=Social Sciences x gift_decile=8,1861,0.0008628587749167,0.2804943578721117,0.1395678639097545,14.09264939623572,0.0119361842159559,1.0502857826224347e-41,12.05103551556988,16.134263276901557,8.023189025831734e-41,True
project-plus-gift-size,SCHOOL_STATE=WV x gift_decile=8,546,0.0002531546969933,0.2802197802197802,0.1396538786534696,14.05659015663106,0.0064507238728476,2.612878899887682e-13,10.28918914171384,17.823991171548286,9.7492099992919e-13,True
project-plus-gift-size,CATEGORY=Supplies x gift_decile=8,52203,0.024204092760332,0.2761718675171924,0.1363040909330646,13.98677765841279,0.0620057586032827,0.0,13.600441919505199,14.373113397320367,0.0,True
project-plus-gift-size,SCHOOL_STATE=OK x gift_decile=8,2926,0.001356649530041,0.2792207792207792,0.1394999113219163,13.97208678988629,0.0148351099666693,1.2379162435864324e-63,12.34590241290082,15.598271166871761,1.3099589102213806e-62,True
project-plus-gift-size,SUBJECT_CATEGORY=Extracurricular x gift_decile=8,733,0.000339857862447,0.276944065484311,0.1396428006573128,13.730126482699823,0.0073002854290801,9.884947617345954e-17,10.49023584116648,16.97001712423316,4.4157326553611164e-16,True
project-plus-gift-size,SCHOOL_STATE=IN x gift_decile=8,3379,0.001566684470953,0.2764131399822432,0.1394749245961628,13.693821538608043,0.0156230354675029,8.363431774107394e-71,12.185162753148404,15.202480324067674,1.0090832168572566e-69,True
project-plus-gift-size,SCHOOL_STATE=SC x gift_decile=8,3720,0.001724790243251,0.2752688172043011,0.1394552135932791,13.58136036110219,0.0162564986729559,1.0528822249118477e-76,12.145285242279714,15.017435479924684,1.3196805362730053e-75,True
project-plus-gift-size,SCHOOL_STATE=CT x gift_decile=8,2080,0.0009643988456887,0.2725961538461538,0.1395611647817983,13.303498906435548,0.0119117386230212,2.986265372958204e-42,11.389247515379772,15.217750297491332,2.3365264221145703e-41,True
project-plus-gift-size,SUBJECT_CATEGORY=Early Development x gift_decile=8,2954,0.0013696318221945,0.2721733243060257,0.1395077605939187,13.266556371210704,0.0141531452472775,5.585927637146463e-59,11.6608431154651,14.872269626956298,5.723359190123876e-58,True
project-plus-gift-size,SUBJECT_CATEGORY=Environmental Science x gift_decile=8,5977,0.0027712557214816,0.2715409068094361,0.1393230540908598,13.22178527185763,0.0200500864176561,1.0698088394862031e-116,12.093288905972777,14.350281637742485,1.841497615702251e-115,True
project-plus-gift-size,SUBJECT_CATEGORY=Health & Life Science x gift_decile=8,5016,0.0023256849086417,0.2715311004784689,0.1393821266976737,13.214897378079518,0.0183621732902827,3.5539353328669024e-98,11.983213198021222,14.446581558137819,5.273713235323185e-97,True
project-plus-gift-size,SUBJECT_CATEGORY=Literacy x gift_decile=8,42107,0.0195230491324119,0.2679126986011827,0.1371363097059267,13.0776388895256,0.0521930062849842,0.0,12.652089436192535,13.503188342858671,0.0,True
project-plus-gift-size,SCHOOL_STATE=NY x gift_decile=8,16868,0.0078209037159029,0.2690894000474271,0.1386694617919582,13.041993825546893,0.033140415562992,0.0,12.37111870210303,13.71286894899075,0.0,True
project-plus-gift-size,SUBJECT_CATEGORY=Applied Sciences x gift_decile=8,8487,0.0039350254823848,0.2695887828443501,0.1391762870776247,13.04124957667254,0.0235519715963137,4.731070170619324e-161,12.096025196961287,13.986473956383799,1.0352223034355165e-159,True
project-plus-gift-size,GRADE_LEVEL=Grades PreK-2 x gift_decile=8,54997,0.0254995400559351,0.2665054457515864,0.1363710975469921,13.013434820459432,0.0591751806623694,0.0,12.641013353545041,13.385856287373823,0.0,True
project-plus-gift-size,SUBJECT_CATEGORY=Music x gift_decile=8,5673,0.0026303051209578,0.2688172043010752,0.1393489224870311,12.946828181404411,0.0191286793545747,4.723515648948144e-107,11.792204836018563,14.10145152679026,7.719061649103866e-106,True
project-plus-gift-size,SCHOOL_STATE=ME x gift_decile=8,669,0.0003101840518104,0.2690582959641255,0.1396493229721049,12.940897299202064,0.0065735082222031,4.4555441664564884e-14,9.580050355978138,16.301744242425986,1.7483609479925006e-13,True
project-plus-gift-size,SUBJECT_CATEGORY=Visual Arts x gift_decile=8,6790,0.0031482058472243,0.2681885125184094,0.1392836445124963,12.890486800591312,0.0208308326608219,8.52931219507318e-127,11.835712899991366,13.945260701191255,1.64348388714022e-125,True
gift-size decile,first_gift_decile=8,154325,0.0715532941639033,0.2593293374372266,0.1304690882559892,12.886024918123736,0.0958082100646974,0.0,12.662440157729979,13.109609678517495,0.0,True
project-plus-gift-size,SCHOOL_STATE=PA x gift_decile=8,4390,0.0020354379483527,0.2674259681093394,0.13942893355027,12.79970345590693,0.0166409016946668,9.971847591704379e-82,11.489549152745516,14.109857759068362,1.3271809526691087e-80,True
project-plus-gift-size,SCHOOL_STATE=IL x gift_decile=8,9183,0.0042577281730576,0.2671240335402374,0.1391445617691554,12.797947177108195,0.0240377162752195,1.15817945287129e-168,11.89179137220656,13.70410298200984,2.623174866064624e-167,True
project-plus-gift-size,CATEGORY=Other x gift_decile=8,14948,0.0069306893968056,0.2667246454375167,0.1388028775312395,12.792176790627718,0.0306134943724151,8.482180986684361e-273,12.081693430162362,13.502660151093085,2.433443478624336e-271,True
project-plus-gift-size,SCHOOL_STATE=MD x gift_decile=8,2862,0.0013269757194044,0.2662473794549266,0.1395213011427526,12.672607831217398,0.0133075956570974,4.6553208834822015e-53,11.052604153377112,14.29261150905769,4.2028106717311345e-52,True
project-plus-gift-size,SCHOOL_STATE=CA x gift_decile=8,25565,0.011853296389439,0.2646978290631723,0.1381899279238783,12.6507901139294,0.0394946608897901,0.0,12.108003282993158,13.193576944865642,0.0,True
project-plus-gift-size,SCHOOL_STATE=HI x gift_decile=8,741,0.0003435670887766,0.2658569500674764,0.139646101677935,12.621084838954138,0.0067471179082176,7.496764290940709e-15,9.43976555799627,15.802404119912008,3.072483396699827e-14,True
project-plus-gift-size,SCHOOL_STATE=NM x gift_decile=8,693,0.0003213117307991,0.2655122655122655,0.1396490222351468,12.586324327711868,0.0065070310603006,6.276102577425599e-14,9.298057755871664,15.874590899552071,2.4186413216287903e-13,True
project-plus-gift-size,SCHOOL_STATE=DC x gift_decile=8,2184,0.0010126187879732,0.2637362637362637,0.1395637241251276,12.41725396111361,0.0113924992542033,1.3991291953918462e-39,10.568549609185077,14.265958313042141,1.0321575950004991e-38,True
project-plus-gift-size,GRADE_LEVEL=Grades 3-5 x gift_decile=8,47917,0.0222168747542637,0.2607425339649811,0.1369389345084351,12.3803599456546,0.0526364362165116,0.0,11.984520205118095,12.7761996861911,0.0,True
project-plus-gift-size,SCHOOL_STATE=WA x gift_decile=8,3198,0.0014827632252464,0.2626641651031895,0.1395068504345775,12.315731466861202,0.013669868941387,2.317815189110564e-56,10.789748438225716,13.841714495496687,2.301768776262876e-55,True
project-plus-gift-size,SCHOOL_STATE=WI x gift_decile=8,1531,0.0007098531888218,0.2625734813847158,0.1396021719955847,12.297130938913112,0.0094476614533603,8.078863825414206e-28,10.092433747860383,14.50182812996584,4.719372488058706e-27,True
project-plus-gift-size,SUBJECT_CATEGORY=History & Geography x gift_decile=8,3836,0.0017785740250298,0.2617309697601668,0.1394720169739352,12.225895278623158,0.0148600592660988,1.9970040550758684e-66,10.834047190922671,13.617743366323651,2.2225277888818504e-65,True
project-plus-gift-size,SCHOOL_STATE=LA x gift_decile=8,2686,0.0012453727401538,0.2617274758004467,0.1395372912467306,12.21901845537161,0.0124309939246399,5.111094481180698e-47,10.55597245610907,13.882064454634152,4.458393902165055e-46,True
project-plus-gift-size,SCHOOL_STATE=AR x gift_decile=8,779,0.000361185913842,0.2605905006418485,0.1396457800422541,12.094472059959443,0.0066292489237368,1.479806971945821e-14,9.011581826399187,15.1773622935197,5.93301490926104e-14,True
project-plus-gift-size,SCHOOL_STATE=OH x gift_decile=8,2477,0.0011484692022937,0.2591844973758579,0.1395520694125767,11.963242796328116,0.0116882506698575,5.0501446393785004e-42,10.23697291314395,13.689512679512294,3.9275522466491835e-41,True
project-plus-gift-size,SCHOOL_STATE=UT x gift_decile=8,1351,0.0006263955964065,0.2583271650629163,0.1396151028586831,11.87120622042332,0.0085678842030678,2.1346115100886326e-23,9.53664676679854,14.205765674048104,1.1530474726043617e-22,True
project-plus-gift-size,GRADE_LEVEL=Grades 6-8 x gift_decile=8,27173,0.012598850881683,0.2556949913517094,0.1382092785959501,11.748571275575928,0.0377996511334441,0.0,11.227795223769748,12.269347327382112,0.0,True
project-plus-gift-size,SCHOOL_STATE=RI x gift_decile=8,502,0.0002327539521806,0.2569721115537848,0.1396621592166516,11.730995233713324,0.0051620629484354,1.8029131115978333e-09,7.908195230570481,15.55379523685616,5.555037773443443e-09,True
project-plus-gift-size,SUBJECT_CATEGORY=Character Education x gift_decile=8,1443,0.0006690516991965,0.2564102564102564,0.1396113190441791,11.67989373660773,0.0087119194811951,3.025125545050739e-24,9.426438844734077,13.933348628481385,1.676153252643993e-23,True
project-plus-gift-size,SUBJECT_CATEGORY=Literature & Writing x gift_decile=8,18496,0.0085757312739708,0.2552443771626297,0.1386899239017382,11.655445326089156,0.0310016407821873,7.392698713219595e-288,11.025389146260252,12.285501505918049,2.219528846224767e-286,True
project-plus-gift-size,SCHOOL_STATE=MA x gift_decile=8,3531,0.0016371597712149,0.2557349192863211,0.1394991670741896,11.623575221213152,0.0135556366787202,2.139047341813138e-56,10.18381387416988,13.063336568256414,2.1407055180471013e-55,True
project-plus-gift-size,SCHOOL_STATE=VA x gift_decile=8,3207,0.0014869361048672,0.255378858746492,0.1395171846653265,11.586167408116546,0.0128781441491964,4.0635944261705027e-51,10.076188800906301,13.0961460153268,3.6431252806848045e-50,True
project-plus-gift-size,SUBJECT_CATEGORY=ESL x gift_decile=8,1904,0.0008827958664381,0.2552521008403361,0.1395873552123552,11.56647456279809,0.0099089999179284,5.685954407666849e-31,9.607480629754171,13.525468495842011,3.49550816204662e-30,True
