donor_id,first_gift_amount,first_month_gifts,p_return,exp_amount,ev_contact
81d0b0aea5501e3b4d5410c8f642621f,200.00,8,0.44,50.00,22.06
401790b5949abac7b7bfd18819857582,200.00,8,0.44,50.00,22.06
542d79d82dbf810556f90554fde440b2,1999.51,5,0.44,50.00,22.02
c2e0d891d109f37fda1017422c2f069c,1945.50,5,0.44,50.00,21.94
70ab15f17968e02aea52fac8a0635bf8,1809.77,5,0.43,50.00,21.72
6284b25b64b37cce142fd50d072071dc,800.00,6,0.43,50.00,21.58
17dba0406b245a5ee94966702093b6a7,350.00,7,0.43,50.00,21.41
9b8b82decc52959f5f3f23f5c454d95f,683.66,6,0.42,50.00,21.10
b16e7900dd372c18852a1ebf577de4c8,1466.12,5,0.42,50.00,21.08
4c9275c3bedb53f4b5ae61cdd72e6cd1,1334.43,5,0.42,50.00,20.79
f884877189020fb3a62aad5a03544f46,2275.68,5,0.41,50.00,20.70
b7c463e32f59d48c1b56b5f956afcc14,574.59,6,0.41,50.00,20.58
d2f743d75c7f33e8d295137ff6a0772d,4621.39,4,0.41,50.00,20.51
e90fb7e5feea8082ad621a0b5ac0b636,250.00,7,0.41,50.00,20.40
e924023ceaaf0cb496d32501bd2d6ab6,247.51,7,0.41,50.00,20.37
bbdaf220936239113a9a89a143362977,1099.78,5,0.40,50.00,20.21
060455cb6e6abf5e17fb32a546aea1ea,500.00,6,0.40,50.00,20.16
6a01f1f8f65243595c559ac69dc42368,5000.00,3,0.40,50.00,20.13
3f1d7d91c766299dd9f5eec968b34578,399.00,7,0.40,50.00,20.11
598c1f532079ee1798699ee9594d94d6,1049.01,5,0.40,50.00,20.07
4515fdb78f4964acdc1268fd832434f7,468.75,6,0.40,50.00,19.97
065505aad1432d9e545af5598b087589,1000.00,5,0.40,50.00,19.93
42ea4aadc31f66f5d9707325ec8c8674,1000.00,5,0.40,50.00,19.93
12eed21e45f76ab308336d71c40ea0a8,1000.00,5,0.40,50.00,19.93
22e7c82ca8290a7fcee57521ad13dc46,455.64,6,0.40,50.00,19.89
5a7ebfab73d5bb477e133ce082852f2b,200.00,7,0.39,50.00,19.74
75501fdbdc120acccaa689a3b8e23629,186.98,7,0.39,50.00,19.54
25e4b1e172506e7a1cd573839ca86a96,392.00,6,0.39,50.00,19.44
397e1d73bbd70cf9025a48e1b1587cc1,1828.74,4,0.39,50.00,19.43
25d6dddc807fbfa06d3e504e7c67841b,375.52,6,0.39,50.00,19.31
2ed5590884a62a7bfb114bc1f784c0ad,600.00,6,0.38,50.00,19.03
29e629b96d25812964801801952f7a12,582.05,6,0.38,50.00,18.88
0435e71053f3bd1e8b558c16dc8532f8,687.70,5,0.38,50.00,18.83
a3a14c0565fef0fe988240c8a0c4b9e6,1457.15,4,0.38,50.00,18.77
48d7a76084e6fa8f3f36e3f6f3f0d973,1423.09,4,0.37,50.00,18.70
9975398bce8b89a4072826796543e599,300.00,6,0.37,50.00,18.66
1b54fa1fecc4d1d8cbcde8614460c35d,275.88,6,0.37,50.00,18.42
d2218fffacf0357a206575f739e6f3b4,2234.50,4,0.37,50.00,18.37
52c95441d8a03cc0b9f3b6ff3b686819,585.02,5,0.37,50.00,18.36
a7e6b289c2fff40a6e26064eceef6aa9,582.97,5,0.37,50.00,18.35
b03f4b15f3a729d6ba38ef0e026a8c8b,3611.80,5,0.36,50.00,18.23
ee1d85ddb140d8b57973ca25233d95b8,558.68,5,0.36,50.00,18.23
5bfe763ecf5cf6da61026105bafe045f,1172.88,4,0.36,50.00,18.14
17f9109f7c319558ffde86a32566efa7,530.28,5,0.36,50.00,18.08
67d7be98c5ec551397fbaf8ca319a199,2000.00,4,0.36,50.00,18.05
54cf3a1602f516c0f370a29b66669087,1984.24,4,0.36,50.00,18.03
0ec6a09c010132441bfc85173e2eb713,1550.00,6,0.36,50.00,18.02
e8c0480f290331a99ea7dbf3621e5efe,2341.81,3,0.36,50.00,17.91
f38def9ad04a09d967647cb0597581c1,1893.22,4,0.36,50.00,17.89
26687797f75738796a76664c06609a2d,855.58,5,0.36,50.00,17.83
58f5628e0f17d3713a183639aa1600f4,1027.07,4,0.36,50.00,17.76
b80063710ba1d32a2f657b0bfdab133e,1018.70,4,0.35,50.00,17.74
3ea4515c38b84fb676d096cf470ed9fa,468.52,5,0.35,50.00,17.72
0653da9e4e769b9bce72b247307c847a,80.00,8,0.35,50.00,17.70
d484d1e83b4f8eac746f1e728b54e056,45.00,8,0.35,50.00,17.69
beea67b260c2d4ea30a4720c19d18a99,445.00,5,0.35,50.00,17.58
de5e6780fdc1aaedad42da810d955994,780.72,5,0.35,50.00,17.51
f0b13cc620e94ae33e15190a40f24ddd,430.99,5,0.35,50.00,17.49
c1e274e3363ff2910153e2888fee22c4,1567.76,4,0.35,50.00,17.36
d76a946e5d440382cdaa169804e33089,1871.85,3,0.35,50.00,17.28
0579340116ed1a2088532d22aeba6b78,544.45,7,0.34,50.00,17.24
5462576b37d463132fae87b942790ca2,841.32,4,0.34,50.00,17.20
12cea6408e4dd1f286871315f862dd18,376.27,5,0.34,50.00,17.11
98312890158af282e4a79a7dcf913862,368.60,5,0.34,50.00,17.05
ec16cd6269106ea323a9fdb03e7feda3,339.59,5,0.34,50.00,16.82
8f1a56febc2ff5a0930b462c1dd31421,820.26,7,0.34,50.00,16.81
2a28ae400b9e0586ce20143f9a4ea494,1286.18,4,0.33,50.00,16.75
69bd1bdc24f6ec0b266960853dea07d3,2747.93,3,0.33,50.00,16.71
615f9e47e53616c076a56679d1d07cbb,1000.00,5,0.33,50.00,16.62
5035f6fd6bad74ad27ffcd4a92058bcd,145.00,6,0.33,50.00,16.61
04e83dadc12c86e429837702fc03d938,662.27,4,0.33,50.00,16.53
0b5ad0d7953500a39a594ce9b325f355,633.65,4,0.33,50.00,16.41
e1ee085ec246f930b0469ccfb656b22d,500.00,5,0.33,50.00,16.33
db99cd2d4260608740e24436d7198070,608.57,4,0.33,50.00,16.30
3c6cf76a67ba5c2bd5dcddaa64595c63,279.70,5,0.33,50.00,16.29
9c7ddc23efcd6e53e13b4cdeb572c3c5,128.76,6,0.33,50.00,16.29
f579e85a146230a04dedae1c83c117cb,2768.51,2,0.32,50.00,16.23
69c0fc31ddd29605a782db29a79e3d31,1276.51,3,0.32,50.00,16.22
9d3eb3ca71de2aac76a4b03528ac6ffe,1273.40,3,0.32,50.00,16.21
83f0dbdc662588a0c203fe367de23f54,2228.47,3,0.32,50.00,16.20
566d27f6f9f9bb8c14a3a1346b2e24e2,569.90,4,0.32,50.00,16.12
e4173e86e0fb76c25c77730013f55e50,262.24,5,0.32,50.00,16.12
cf2fad525a86ca211151c223c2a88dde,2122.75,3,0.32,50.00,16.01
2a7285d78cabd418c1794ad7623c4e8f,249.57,5,0.32,50.00,15.98
bb5880a4dc9af3d3a907ab29d3651a60,1147.89,3,0.32,50.00,15.93
40b7688c2f0e3ebd7b9d12904880ed61,919.46,4,0.32,50.00,15.89
09dd9b330e80531935152cdc176b9dc8,1127.78,3,0.32,50.00,15.88
3377593f9c9538608eff5d4f9b8b7d66,110.16,6,0.32,50.00,15.87
ea4bee23b1a85b4cc0c2876db6f2f144,1956.39,3,0.32,50.00,15.85
3eaf44efda229d3c97285da82b55145b,1622.13,4,0.32,50.00,15.84
39b0223a9ad11ea158aca5fea394fd54,509.45,4,0.32,50.00,15.82
6f3cb0f94ed30725d3ebb04cc3733036,505.87,4,0.32,50.00,15.80
47db20e0daca2bbe45698e167416c256,232.71,5,0.32,50.00,15.79
41ca6d6ef2de790bec0a32ec3985a3bd,1089.55,3,0.32,50.00,15.79
c79e39601d313ea30ba4b98fcc67021a,500.00,4,0.32,50.00,15.77
b7f5d1952471ff7a5cfce795bd73f5cb,500.00,4,0.32,50.00,15.77
4e5440c7c4a961b6b5b5c951b588d078,499.77,4,0.32,50.00,15.77
f4028cd351f598d891d9881097da10e0,498.42,4,0.32,50.00,15.76
50048d654487668ea459653cba48d983,155.00,7,0.32,50.00,15.76
16ec153269c4542750b5f979b2cd958d,1065.50,3,0.31,50.00,15.73
31d5d7507e9554c427758d87a61f9265,1500.48,4,0.31,50.00,15.63
4b6f68159154183c2aa866f9634286a4,300.00,7,0.31,50.00,15.61
20a6b88045ad9694ccebc3f9dac9167c,1000.00,3,0.31,50.00,15.56
9b0540b59486342ca661f853f6d7426f,450.33,4,0.31,50.00,15.49
0c05ce4e8659244056a5ad52de8d5e76,950.29,3,0.31,50.00,15.43
a70a48e10660420379bbd80e283c6bf7,719.66,4,0.30,50.00,15.24
45a59ca75e45d4992ba619e264e095f0,402.12,4,0.30,50.00,15.20
7aaaa96efcb6561ea4426fbca4512b9f,150.00,6,0.30,50.00,15.18
79b740213ef0c6bb13af1aea33d45af5,550.00,6,0.30,50.00,15.17
9abea9bedffb3b0c250d282b1e40a0e6,697.40,4,0.30,50.00,15.16
a35f0007435c23ae5d6e3484d66e1181,394.58,4,0.30,50.00,15.15
6bc0363ec60f5555826319d86231890d,691.33,4,0.30,50.00,15.13
055b313d1b1272e42b97ccc01a668169,180.00,5,0.30,50.00,15.12
d2d8082547cfdaa65776fe4c6063868c,696.59,4,0.30,50.00,15.10
4cc5b4f9c733fa438eb7c5c879e2f60b,1431.84,3,0.30,50.00,15.02
83bc761cd63e8846504398a18f4c91fb,369.06,4,0.30,50.00,14.97
782f5bbc8af6686a8b7c2bdfac53bd8a,368.76,4,0.30,50.00,14.97
947bedf80171db8c961092b7c08327e5,500.00,6,0.30,50.00,14.93
2be674515ecf689f0c2cfa2c61b11173,358.77,4,0.30,50.00,14.90
5061525a3a85e8d90e7f32dd692b6d0f,746.71,3,0.30,50.00,14.80
3e293fcded8867599c15817c16cafa1e,1081.45,4,0.30,50.00,14.77
fcced18ed77dae692be71119fdc81284,733.06,3,0.29,50.00,14.75
47d8443b45ab86e7ef010f598d6f75be,335.22,4,0.29,50.00,14.72
